Topic,Terms,Interpretation,Description
1,"человек,уровень,результат,часть,случай,мечта,сторона,закон,количество,праворешение,проблема,ситуация,система,путин,средство,состав,организм,действие,правило,власть,связь,выбор,число,развитие,врач,суд,шт,питание,будущее",Политическая активность,"Деятельность граждан, направленную на выбор политиков, а также принятие и претворение в жизнь политических решений."
2,"мочь,цена,вопрос,квартира,деньги,размер,руб,компания,качество,банк,рубль,месяц,информация,кредит,бизнес,телефон,документ,продажа,неделя,услуга,интернет,покупка,условие,магазин,клиент,счет,продукт,недвижимость,срок,реклама",Финансовая активность,"Деятельность направленная на совершение покупок, продажи, получение кредитов и с бизнесом."
3,"город,любовь,слово,счастие,душа,сердце,глаз,земля,бог,ночь,конец,волос,свет,пора,голова,мысль,девочка,радость,небо,солнце,нога,награда,лес,век,судьба,дерево,гора,звезда,мальчик,дождь",Семья и отношения,"Ппосты связанные с радостью по случаю формирования семьи, отношениями"
4,"дом,место,утро,мама,вид,м,район,центр,вечер,область,цвет,дорога,окно,кв,комната,площадь,улица,сад,отдых,цветок,зима,ремонт,территория,комплекс,чудо,строительство,этаж,папа,техника,площадка",Дом,Мысли о доме и семейных ценностях.
5,"работа,очки,помощь,сила,тело,возможность,женщина,красота,желание,состояние,опыт,внимание,энергия,процесс,способ,чувство,достижение,главное,знание,боль,природа,ум,дома,тема,взгляд,курс,удовольствие,сознание,множество,страх",Здоровый образ жизни,"Образ жизни, который направлен на сохранение здоровья, улучшение психического здоровья, практики осознанности и укрепление организма в целом."
6,"жизнь,ребенок,история,цель,лицо,школа,отношение,фильм,вещь,образродитель,план,причина,смысл,форма,шаг,взрослый,смерть,мать,материал,ошибка,совет,сша,тайна,возраст,мнение,факт,враг,просмотр,ссср",Детство,О детстве (собственном и своих детей)
7,"день,время,праздник,победа,семья,дорогой,момент,война,начало,настроение,мужчина,удача,март,муж,ветеран,течение,сезон,рабочий,сон,отец,труд,альбом,бабушка,л,сентябрь,бой,дочь,герой,член,кино",Праздники,"Посты про праздники, особенно связанные с Днем Победы"
8,"друг,игра,петербург,санкт,москва,подарок,г,бонус,группа,приложение,ссылка,сайт,программа,акция,запись,сообщение,клуб,страница,участие,поддержка,регистрация,апрель,скидка,сеть,июнь,вконтакте,участник,гость,театр,голос",Розыгрыши и конкурсы,"Акции, бонусные программы и скидки"
9,"год,мир,страна,здоровье,кожа,путь,видео,песня,книга,память,народ,успех,девушка,итог,порядок,язык,рекорд,коробка,январь,кг,ткань,михаил,собака,июль,свобода,служба,тип,дед,стол,кислота",,
10,"россия,рождение,проект,май,фото,команда,александр,встреча,класс,новость,событие,мастер,поздравление,ребята,жена,обучение,брат,коллега,екатерина,сергей,автор,владимир,трек,искусство,честь,модель,германия,студент,андрей,христос",Личности,Упоминание людей и их проффесий
11,"вода,час,лето,спб,море,минута,весна,музыка,питер,пост,парк,пара,привет,комментарий,стена,идея,осень,путешествие,фотография,музей,концерт,огонь,текст,прогулка,погода,вкус,название,технология,платье,санктпетербург","Отдых, развлечения",Мероприятия и места для развлечений
12,"дело,рука,сын,имя,ответ,карта,масло,машина,вес,дверь,точка,очередь,чай,август,детство,сок,открытие,парень,задание,дурак,овощ,процедура,ключ,матч,холодильник,сектор,дочка,турнир,салат,разговор",,